White: e2e4 - e2e4
White: g8h7 - g8h7
Black: h4f6 - h4f6
White: h7g8 - h7g8
Black: f6e7 - f6e7
White: g8h7 - g8h7
Black: b4c4 - b4c4
White: h7g8 - h7g8
Black: c4d4 - c4d4
White: g8h7 - g8h7
Black: d3c2 - d3c2
White: h7g8 - h7g8
Black: g3h2 - g3h2
White: g1h1 - g1h1
Black: c2c1n - c2c1n
White: g8h7 - g8h7
Black: c1e2 - c1e2
White: h7g8 - h7g8
Black: e7g5 - e7g5
White: g8h7 - g8h7
Black: e2g3 - e2g3
White: f2g3 - f2g3
Black: d4d3 - d4d3
White: f1f8 - f1f8
Black: a4a3 - a4a3
White: h7g8 - h7g8
Black: d3c2 - d3c2
White: g8h7 - g8h7
Black: g5h4 - g5h4
White: h7g8 - h7g8
Black: h4e7 - h4e7
White: g8h7 - g8h7
Black: e7b4 - e7b4
White: h7g8 - h7g8
Black: b4c3 - b4c3
White: g8h7 - g8h7
Black: c3b4 - c3b4
White: h7g8 - h7g8
Black: b4d2 - b4d2
White: g8h7 - g8h7
Black: d2c1 - d2c1
White: h7g8 - h7g8
Black: c2b2 - c2b2
White: g8h7 - g8h7
Black: b2a1 - b2a1
White: h7g8 - h7g8
Black: c1d2 - c1d2
White: g8h7 - g8h7
Black: d2b4 - d2b4
White: h7g8 - h7g8
Black: b4d6 - b4d6
White: f8f7 - f8f7
Black: d6e5 - d6e5
White: f7f8 - f7f8
Black: e5c3 - e5c3
White: g8h7 - g8h7
Black: c3e1 - c3e1
White: h7g8 - h7g8
Black: e1d2 - e1d2
White: f8f7 - f8f7
Black: d2a5 - d2a5
White: f7f8 - f7f8
Black: a5d2 - a5d2
White: g8h7 - g8h7
Black: d2h6 - d2h6
White: h7g8 - h7g8
Black: h6e3 - h6e3
White: g8h7 - g8h7
Black: e3d4 - e3d4
White: h7g8 - h7g8
Black: d4h8 - d4h8
White: g8h7 - g8h7
Black: a1b1 - a1b1
White: h7g8 - h7g8
Black: e4e3 - e4e3
White: g8h7 - g8h7
Black: b1a1 - b1a1
White: h7g8 - h7g8
Black: a1b1 - a1b1
White: g8h7 - g8h7
Black: b1a1 - b1a1
White: h7g8 - h7g8
Black: h8f6 - h8f6
White: g8h7 - g8h7
Black: f6c3 - f6c3
White: h7g8 - h7g8
Black: c3d4 - c3d4
White: g8h7 - g8h7
Black: d4g7 - d4g7
White: h7g8 - h7g8
Black: g7e5 - g7e5
White: f8f7 - f8f7
Black: e5c3 - e5c3
White: g8h7 - g8h7
Black: c3b4 - c3b4
White: h7g8 - h7g8
Black: b4f8 - b4f8
White: g8h7 - g8h7
Black: f8c5 - f8c5
White: h7g8 - h7g8
Black: e3e2 - e3e2
White: f7f8 - f7f8
Black: e2e1r - e2e1r
White: f8f1 - f8f1
Black: c5e3 - c5e3
White: g8h7 - g8h7
Black: e3a7 - e3a7
White: h7g8 - h7g8
Black: a7d4 - a7d4
White: g8h7 - g8h7
Black: d4f2 - d4f2
White: h7g8 - h7g8
Black: a1b2 - a1b2
White: g8h7 - g8h7
Black: f2c5 - f2c5
White: h7g8 - h7g8
Black: e1f1 - e1f1
White: h1h2 - h1h2
Black: f1f8 - f1f8
White: g8h7 - g8h7
Black: f8f3 - f8f3
White: h7g8 - h7g8
Black: b2c2 - b2c2
White: g8h7 - g8h7
Black: c2c1 - c2c1
White: h7g8 - h7g8
Black: c1b2 - c1b2
White: g8b3 - g8b3
Black: b2c3 - b2c3
White: b3f7 - b3f7
Black: c5d6 - c5d6
White: f7g8 - f7g8
Black: d6c7 - d6c7
White: g8h7 - g8h7
Black: f3f2 - f3f2
White: h7g8 - h7g8
Black: c7b6 - c7b6
White: g8h7 - g8h7
Black: b6a5 - b6a5
White: h7g8 - h7g8
Black: f2f1 - f2f1
White: g8h7 - g8h7
Black: f1a1 - f1a1
White: h7g8 - h7g8
Black: c3b2 - c3b2
White: g8h7 - g8h7
Black: a5d2 - a5d2
White: h7g8 - h7g8
Black: d2b4 - d2b4
White: g8h7 - g8h7
Black: a1e1 - a1e1
White: h7g8 - h7g8
Black: e1f1 - e1f1
White: g8h7 - g8h7
Black: f1h1 - f1h1
White: h2h1 - h2h1
Black: b4e1 - b4e1
White: h7g8 - h7g8
Black: b2b1 - b2b1
White: g8h7 - g8h7
Black: b1a1 - b1a1
White: h7g8 - h7g8
Black: e1g3 - e1g3
White: g8h7 - g8h7
Black: g3h4 - g3h4
White: h7g8 - h7g8
Black: a1b1 - a1b1
White: g8h7 - g8h7
Black: b1b2 - b1b2
White: h7g8 - h7g8
Black: h4e7 - h4e7
White: g8h7 - g8h7
Black: e7c5 - e7c5
White: h7g8 - h7g8
Black: c5g1 - c5g1
White: g8h7 - g8h7
Black: g1d4 - g1d4
White: h7g8 - h7g8
Black: b2c2 - b2c2
White: g8h7 - g8h7
Black: c2c1 - c2c1
White: h7g8 - h7g8
Black: d4e5 - d4e5
White: g8h7 - g8h7
Black: e5g7 - e5g7
White: h7g8 - h7g8
Black: g7a1 - g7a1
White: g8h7 - g8h7
Black: a1f6 - a1f6
White: h7g8 - h7g8
Black: f6h8 - f6h8
White: g8h7 - g8h7
Black: h8c3 - h8c3
White: h7g8 - h7g8
Black: c3e5 - c3e5
White: g8h7 - g8h7
Black: e5c3 - e5c3
White: h7g8 - h7g8
Black: c3d4 - c3d4
White: g8h7 - g8h7
Black: d4a1 - d4a1
White: h7g8 - h7g8
Black: c1d2 - c1d2
White: g8h7 - g8h7
Black: a1e5 - a1e5
White: h7g8 - h7g8
Black: e5h8 - e5h8
White: g8h7 - g8h7
Black: h8a1 - h8a1
White: h7g8 - h7g8
Black: a1d4 - a1d4
White: g8h7 - g8h7
Black: d4e3 - d4e3
White: h7g8 - h7g8
Black: e3h6 - e3h6
White: g8h7 - g8h7
Black: h6f4 - h6f4
White: h7g8 - h7g8
Black: d2e3 - d2e3
White: g8h7 - g8h7
Black: f4d6 - f4d6
White: h7g8 - h7g8
Black: e3e4 - e3e4
White: g8h7 - g8h7
Black: e4e3 - e4e3
White: h7g8 - h7g8
Black: e3f2 - e3f2
White: g8h7 - g8h7
Black: d6e7 - d6e7
White: h7g8 - h7g8
Black: e7h4 - e7h4
White: g8h7 - g8h7
Black: h4d8 - h4d8
White: h7g8 - h7g8
Black: d8b6 - d8b6
White: g8h7 - g8h7
Black: b6c7 - b6c7
White: h7g8 - h7g8
Black: f2e3 - f2e3
White: g8h7 - g8h7
Black: c7g3 - c7g3
White: h7g8 - h7g8
Black: e3f2 - e3f2
White: g8h7 - g8h7
Black: g3b8 - g3b8
White: h7g8 - h7g8
Black: b8a7 - b8a7
White: g8h7 - g8h7
Black: a7d4 - a7d4
White: h7g8 - h7g8
Black: d4a1 - d4a1
White: g8h7 - g8h7
Black: a1b2 - a1b2
White: h7g8 - h7g8
Black: f2f1 - f2f1
White: g8h7 - g8h7
Black: b2c1 - b2c1
White: h7g8 - h7g8
Black: f1e1 - f1e1
White: g8h7 - g8h7
Black: c1h6 - c1h6
White: h7g8 - h7g8
Black: h6f8 - h6f8
White: g8h7 - g8h7
Black: e1e2 - e1e2
White: h7g8 - h7g8
Black: f8g7 - f8g7
White: g8h7 - g8h7
Black: g7h8 - g7h8
White: h7g8 - h7g8
Black: h8e5 - h8e5
White: g8h7 - g8h7
Black: e5c7 - e5c7
White: h7g8 - h7g8
Black: c7d6 - c7d6
White: g8h7 - g8h7
Black: d6c7 - d6c7
White: h7g8 - h7g8
Black: e2d3 - e2d3
White: g8h7 - g8h7
Black: d3c3 - d3c3
White: h7g8 - h7g8
Black: c3c2 - c3c2
White: g8h7 - g8h7
Black: c2c3 - c2c3
White: h7g8 - h7g8
Black: c3d4 - c3d4
White: g8h7 - g8h7
Black: c7b8 - c7b8
White: h7g8 - h7g8
Black: d4c5 - d4c5
White: g8h7 - g8h7
Black: b8e5 - b8e5
White: h7g8 - h7g8
Black: e5f4 - e5f4
White: g8h7 - g8h7
Black: f4d2 - f4d2
White: h7g8 - h7g8
Black: c5c6 - c5c6
White: g8h7 - g8h7
Black: d2f4 - d2f4
White: h7g8 - h7g8
Black: f4d2 - f4d2
White: g8h7 - g8h7
Black: d2g5 - d2g5
White: h7g8 - h7g8
Black: g5f6 - g5f6
White: g8h7 - g8h7
Black: f6h4 - f6h4
White: h7g8 - h7g8
Black: h4e7 - h4e7
White: g8h7 - g8h7
Black: e7d8 - e7d8
